author_id,author_name
1,Yaksh
2,Xit
3,Daniel Meyer
4,Seedify Fund
5,Ifedolapo Shiloh Olotu
6,Brian
7,Nick Babich
8,Xerxemi
9,Harry Alexander
10,E2Analyst
11,Crypto111
12,Professor Brent R. Stockwell
13,Muzli
14,Koh Rui Heng
15,Nabil Alouani
16,Lisa S. Gerard
17,Dan H Mcinerney
18,Linda Caroll
19,Tyger A.C
20,Chris
21,Matt Ryan Allen
22,Scott Priestley
23,"Pm^2 - Management, Innovation"
24,Ian Scott
25,Frank Simpson
26,Marco Van Hylckama Vlieg
27,Michael Macaulay
28,Alon Barak
29,Ignacio De Gregorio
30,Mykola-Bohdan Vynnytskyi
31,Anjana Samindra Perera
32,Josh C
33,Linda Locke
34,Talking With Machines.
35,Enda
36,Valerie
37,Safoora Maqbool
38,Rahiq Al-Huslan
39,Likhith Gowda
40,Pelin Okutan
41,Daren Scot Wilson
42,Pierluigi De Stasio
43,Core Dao
44,Vela
45,"Render Network, Rndr Team"
46,Lunarcrush
47,Espl
48,Satoshis Vision
49,Mega Crypto Polis
50,Polylastic
51,Nelson Crypto Passive Income
52,Dot Names
53,Rohin Bhat
54,Madison Hunter
55,Cassie Kozyrkov
56,Pol Marin
57,Vanmoofer
58,Kevser Büşra Yildirim
59,Kaoutar Tarik
60,Alex Chin
61,Anirban Majumder
62,Luke Skyward
63,"Dr. Mandar Karhade, Md. Phd."
64,Muhammad Ahsan
65,Mohamed Sazni
66,Zajjaj Bin Sana
67,Kiselev Ivan
68,Mohammad Asim Ayub
69,Andrii Kozin
70,Ansh
71,Sarra Barnett
72,Dean Lofts
73,Stephanie Tabares
74,Amit Kumar
75,Abdu Musowir U
76,Adnan Ribic
77,Tetiana Volkova
78,Richard De Vries
79,Jarod Vyent
80,Tanmay Batham
81,Aman Raghuvanshi
82,Clouddeepdive
83,K Samman
84,Kompetify.Ai
85,Presearch
86,Akashyadav
87,Pramod Ravikant
88,Abhishek Jain
89,Tomerpacific
90,Adi Mizrahi
91,Juan Landy
92,Anand Verma
93,Konstantinos Nikoloutsos
94,Dgeek
95,Mohsen Mirhoseini
96,Kompetify.Ai
97,Guseyn Ismayylov
98,Mohammad-Ali A'Râbi
99,Prashant K
100,Matan Hamilis
101,Soileum
102,Andrew Long
103,Ansible Pilot
104,Fimber
105,ɴᴀᴊᴇᴇʙ ᴡᴇᴇʀᴀʙᴀɴɢꜱᴀ
106,Supakon_K
107,Karthikeyan Nagaraj
108,Markel Adanez
109,Bhavin Kaloliya
110,Sujith Abdul Rahim
111,Kshitij Singh
112,Sena Yakut
113,Tony
114,Ashutosh Shashi
115,Innocent Mambo
116,Nidhi Gupta
